longitude,latitude,time,u10,v10,d2m,t2m,cdir,rsn,stl4,tcc,tp,fdir
126.4,34.74,2015-01-01 06:00:00,5.2238874,-10.050164,266.95844,274.20688,1192955.5,132.26315,283.36096,0.9985809,0.000116066076,902538.6
126.4,34.74,2015-01-01 07:00:00,5.4381065,-9.597539,267.83163,273.89166,759637.1,133.05519,283.35797,0.9979094,3.92003e-05,68521.375
126.4,34.74,2015-01-01 08:00:00,5.2929134,-8.585481,267.55804,273.7557,279878.94,133.52014,283.35687,1.0,2.7414411e-05,16760.375
126.4,34.74,2015-01-01 09:00:00,5.3369474,-8.258608,267.54767,273.85696,13400.0,133.57626,283.3558,1.0,1.9215979e-05,920.0
126.4,34.74,2015-01-01 10:00:00,4.941039,-8.006298,267.74045,273.7153,0.0,132.02908,283.10455,1.0,1.2810342e-05,0.0
126.4,34.74,2015-01-01 11:00:00,5.144943,-7.9297194,267.69293,273.94116,0.0,132.00021,283.10263,0.996353,7.942319e-06,0.0
126.4,34.74,2015-01-01 12:00:00,5.017205,-7.651212,267.61865,274.1551,0.0,131.98257,283.10156,0.9846184,4.3548644e-06,0.0
126.4,34.74,2015-01-01 13:00:00,4.900972,-7.004317,267.72025,274.1608,0.0,131.96815,283.09964,0.9834435,3.0742958e-06,0.0
126.4,34.74,2015-01-01 14:00:00,5.1516876,-6.2195787,268.1511,274.04303,0.0,131.9441,283.09665,0.9859002,4.867092e-06,0.0
126.4,34.74,2015-01-01 15:00:00,5.352022,-5.8439364,268.38538,274.05725,0.0,131.88799,283.09665,1.0,1.8190593e-05,0.0
126.4,34.74,2015-01-01 16:00:00,5.6309032,-5.685135,268.6475,274.13403,0.0,131.76132,283.09366,0.9969939,3.6382116e-05,0.0
126.4,34.74,2015-01-01 17:00:00,5.8038654,-5.605734,268.79004,274.30304,0.0,131.59297,283.09174,0.9939878,5.38053e-05,0.0
126.4,34.74,2015-01-01 18:00:00,6.0236387,-5.7488165,268.61966,274.43674,0.0,131.41501,283.0909,0.98080355,4.9449503e-05,0.0
126.4,34.74,2015-01-01 19:00:00,6.15217,-5.6516814,268.4116,274.55338,0.0,131.29797,283.08792,0.976241,4.8937276e-05,0.0
126.4,34.74,2015-01-01 20:00:00,6.4953175,-5.590418,268.2019,274.7963,0.0,131.23224,283.08575,0.9723498,2.8182752e-05,0.0
126.4,34.74,2015-01-02 06:00:00,6.201758,-8.482703,269.41586,277.60806,1207995.4,130.95967,283.06967,0.53620315,4.406832e-05,738895.25
126.4,34.74,2015-01-02 07:00:00,3.489506,-8.813607,270.92526,276.9896,761717.1,130.96448,283.06723,0.65730244,4.7399662e-05,402328.3
126.4,34.74,2015-01-02 08:00:00,2.3454175,-8.937747,270.99463,275.51544,281838.94,130.96448,283.06448,0.8086918,4.867092e-06,146323.0
126.4,34.74,2015-01-02 09:00:00,2.1823728,-8.727757,269.96194,274.94308,14200.0,130.9693,283.06342,0.89545727,3.0742958e-06,3640.125
126.4,34.74,2015-01-02 10:00:00,2.1553972,-8.300122,268.6393,273.81943,0.0,130.97891,282.95984,0.92300063,7.683411e-07,0.0
126.4,34.74,2015-01-02 11:00:00,1.6146922,-7.535134,268.40286,273.9042,0.0,130.98372,282.95905,0.9333771,-9.313226e-10,0.0
126.4,34.74,2015-01-02 12:00:00,1.560344,-6.82496,268.2177,274.06122,0.0,130.98854,282.95685,0.86614376,-9.313226e-10,0.0
126.4,34.74,2015-01-02 13:00:00,1.3560425,-6.027324,268.0042,274.00775,0.0,130.99335,282.95496,0.83516705,-9.313226e-10,0.0
126.4,34.74,2015-01-02 14:00:00,1.5579638,-5.2772484,267.87042,273.5691,0.0,130.99815,282.95386,0.8099736,-9.313226e-10,0.0
126.4,34.74,2015-01-02 15:00:00,1.0882686,-5.171649,267.9933,273.51843,0.0,131.00136,282.95114,0.55762744,-9.313226e-10,0.0
126.4,34.74,2015-01-02 16:00:00,0.06636417,-4.97617,268.055,273.3176,0.0,131.00616,282.94894,0.5379427,-9.313226e-10,0.0
126.4,34.74,2015-01-02 17:00:00,-0.2783699,-4.63519,267.90317,272.74808,0.0,131.01099,282.94894,0.2091923,-9.313226e-10,0.0
126.4,34.74,2015-01-02 18:00:00,-0.24346006,-4.0757565,267.82126,272.6087,0.0,131.01099,282.94623,0.50907177,-9.313226e-10,0.0
126.4,34.74,2015-01-02 19:00:00,0.0032885075,-3.5671077,267.77704,272.61893,0.0,131.0158,282.9438,0.63262784,-9.313226e-10,0.0
126.4,34.74,2015-01-02 20:00:00,0.322237,-3.075387,267.64487,272.2753,0.0,131.0158,282.94324,0.7636763,-9.313226e-10,0.0
126.4,34.74,2015-01-03 06:00:00,0.8002629,-1.0984272,270.1886,276.88092,1201835.4,131.05908,282.92444,0.84333086,-9.313226e-10,732575.06
126.4,34.74,2015-01-03 07:00:00,0.9736217,-0.14642334,270.35623,277.1307,776797.06,131.06389,282.92334,0.78949535,-9.313226e-10,413768.5
126.4,34.74,2015-01-03 08:00:00,0.9605306,0.7890554,271.08966,277.49368,297038.88,131.0671,282.92117,0.5263455,-9.313226e-10,139882.88
126.4,34.74,2015-01-03 09:00:00,0.9621174,1.3746868,271.22998,277.4823,16759.875,131.0719,282.91925,0.57335997,-9.313226e-10,11920.25
126.4,34.74,2015-01-03 10:00:00,1.0815246,1.044186,271.44626,276.46503,0.0,131.07672,282.90643,0.8474814,-9.313226e-10,0.0
126.4,34.74,2015-01-03 11:00:00,0.63166463,1.4718219,271.94156,276.64938,0.0,131.08153,282.90344,0.64152414,-9.313226e-10,0.0
126.4,34.74,2015-01-03 12:00:00,-0.30217195,1.6959176,272.2796,277.03625,0.0,131.08633,282.90155,0.88050294,-9.313226e-10,0.0
126.4,34.74,2015-01-03 13:00:00,-0.65682364,1.7676605,273.5247,277.3162,0.0,131.09114,282.90073,0.7324401,-9.313226e-10,0.0
126.4,34.74,2015-01-03 14:00:00,-0.30534554,1.7652422,274.73376,277.3725,0.0,131.09595,282.8988,0.6534418,-9.313226e-10,0.0
126.4,34.74,2015-01-03 15:00:00,0.408718,1.7866038,275.40762,277.94772,0.0,131.10077,282.8958,0.61967254,-9.313226e-10,0.0
126.4,34.74,2015-01-03 16:00:00,1.0196391,1.7862008,275.80847,278.6788,0.0,131.10077,282.89392,0.31805348,-9.313226e-10,0.0
126.4,34.74,2015-01-03 17:00:00,1.7709928,1.7660483,275.78772,279.6517,0.0,131.10558,282.89392,0.27348053,-9.313226e-10,0.0
126.4,34.74,2015-01-03 18:00:00,2.2172825,1.5020506,275.83524,280.18936,0.0,131.11038,282.89282,0.25385684,-9.313226e-10,0.0
126.4,34.74,2015-01-03 19:00:00,2.3347063,1.3343818,276.16672,280.5427,0.0,131.11519,282.889,0.316024,-9.313226e-10,0.0
126.4,34.74,2015-01-03 20:00:00,2.3886578,1.2513536,276.65436,280.50967,0.0,131.12001,282.88763,0.24483848,-9.313226e-10,0.0
126.4,34.74,2015-01-04 06:00:00,2.2145057,-2.2592106,277.3523,282.47144,1218915.4,131.12802,282.8702,0.030442685,-9.313226e-10,959339.75
126.4,34.74,2015-01-04 07:00:00,1.9534757,-2.0193963,277.43692,282.44412,792397.0,131.12802,282.8683,0.023789555,-9.313226e-10,768255.8
126.4,34.74,2015-01-04 08:00:00,1.6741976,-1.7150935,277.64774,281.3153,308878.8,131.12802,282.86584,0.009003103,-9.313226e-10,308646.38
126.4,34.74,2015-01-04 09:00:00,1.5504265,-1.761041,277.4626,280.32364,18679.875,131.13283,282.86475,0.0,-9.313226e-10,18680.375
126.4,34.74,2015-01-04 10:00:00,1.6872886,-1.4079694,277.20813,278.95703,0.0,131.12802,282.75604,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-04 11:00:00,1.2977273,-1.0722288,277.74875,279.28302,0.0,131.12802,282.75412,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-04 12:00:00,0.4039576,-1.0774685,277.89673,279.01337,0.0,131.13283,282.75195,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-04 13:00:00,-0.7877352,-0.7344731,277.9317,278.76187,0.0,131.13283,282.75113,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-04 14:00:00,-1.3431182,-0.46523583,277.11526,277.5597,0.0,131.13283,282.74893,0.005462885,-9.313226e-10,0.0
126.4,34.74,2015-01-04 15:00:00,-1.7620354,-0.2359004,276.46652,276.85477,0.0,131.13283,282.7484,0.6097386,5.112961e-07,0.0
126.4,34.74,2015-01-04 16:00:00,-1.8937407,-0.13312268,275.27765,275.65884,0.0,131.13283,282.74622,0.923199,2.5518239e-07,0.0
126.4,34.74,2015-01-04 17:00:00,-1.8822362,-0.47974563,274.5022,274.78094,0.0,131.13283,282.74405,0.9848931,1.2805685e-06,0.0
126.4,34.74,2015-01-04 18:00:00,-1.6577029,-0.37132514,274.17346,274.53857,0.0,131.13283,282.7413,0.99896234,4.0987507e-06,0.0
126.4,34.74,2015-01-04 19:00:00,-2.0298092,-0.42533386,273.95667,274.18695,0.0,131.12802,282.7405,0.99949646,5.1232055e-06,0.0
126.4,34.74,2015-01-04 20:00:00,-3.1274838,-0.3930899,274.29907,274.64838,0.0,131.12802,282.73804,0.9998932,1.792796e-06,0.0
126.4,34.74,2015-01-05 06:00:00,-3.7233305,4.3298483,278.883,284.29263,1191795.5,131.13763,282.7206,0.4991226,-9.313226e-10,821696.94
126.4,34.74,2015-01-05 07:00:00,-3.6130471,4.236744,279.0774,284.45535,766357.06,131.13763,282.71762,0.3392947,-9.313226e-10,606852.5
126.4,34.74,2015-01-05 08:00:00,-3.7316608,4.2887373,279.742,283.9285,291878.88,131.13763,282.71625,0.5118032,-9.313226e-10,218124.5
126.4,34.74,2015-01-05 09:00:00,-4.022444,4.2081275,280.15866,283.79593,17239.875,131.13763,282.71405,0.86344284,-9.313226e-10,10960.25
126.4,34.74,2015-01-05 10:00:00,-3.6840568,3.6043587,280.8555,283.58487,0.0,109.13237,282.8503,0.99151576,7.173978e-05,0.0
126.4,34.74,2015-01-05 11:00:00,-3.027515,3.8687596,281.18317,283.82153,0.0,109.13237,282.8492,1.0,0.0003148904,0.0
126.4,34.74,2015-01-05 12:00:00,-2.1746056,4.301635,281.59656,283.92566,0.0,109.13237,282.84622,1.0,0.00075097336,0.0
126.4,34.74,2015-01-05 13:00:00,-1.9976764,4.6942058,282.23056,284.19647,0.0,109.13237,282.84512,1.0,0.0006666775,0.0
126.4,34.74,2015-01-05 14:00:00,-0.010992765,5.8009806,283.15182,284.6192,0.0,109.13237,282.8424,1.0,0.0008229702,0.0
126.4,34.74,2015-01-05 15:00:00,3.75847,5.7800217,283.3293,284.69714,0.0,109.13237,282.84103,0.9994507,0.00096645206,0.0
126.4,34.74,2015-01-05 16:00:00,7.3109365,2.9876924,283.25778,284.2881,0.0,109.13237,282.84024,1.0,0.00054728054,0.0
126.4,34.74,2015-01-05 17:00:00,7.477948,-1.9597448,282.47302,283.16214,0.0,109.13237,282.83804,0.9994507,0.00017371494,0.0
126.4,34.74,2015-01-05 18:00:00,4.547907,-7.358195,281.57306,282.15622,0.0,109.13237,282.83722,0.94566095,0.00018345099,0.0
126.4,34.74,2015-01-05 19:00:00,2.8139224,-8.688259,279.89218,281.06213,0.0,109.13237,282.83423,0.6259442,1.6910024e-05,0.0
126.4,34.74,2015-01-05 20:00:00,2.344624,-8.660046,277.96063,280.20645,0.0,109.13237,282.83206,0.33779928,3.842637e-06,0.0
126.4,34.74,2015-01-06 06:00:00,3.4085789,-11.076733,268.3788,275.3897,1266635.1,109.13237,282.81625,0.47611126,-9.313226e-10,999580.6
126.4,34.74,2015-01-06 07:00:00,3.2661629,-10.774848,268.3357,275.24805,830556.9,109.13237,282.81216,0.34790105,-9.313226e-10,640013.2
126.4,34.74,2015-01-06 08:00:00,2.798451,-10.476591,268.2161,274.443,332278.75,109.13237,282.8119,0.76422566,-9.313226e-10,172643.5
126.4,34.74,2015-01-06 09:00:00,2.3382769,-10.175916,268.42743,274.27402,22559.875,110.46791,282.80997,0.99218714,-9.313226e-10,9320.25
126.4,34.74,2015-01-06 10:00:00,2.2137122,-9.869195,268.40176,274.01913,0.0,99.999985,282.80072,0.9855493,-9.313226e-10,0.0
126.4,34.74,2015-01-06 11:00:00,1.997113,-9.292431,268.4957,274.06693,0.0,99.999985,282.79852,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-06 12:00:00,1.3159755,-9.239228,268.45856,274.12152,0.0,99.999985,282.79773,0.99980164,-9.313226e-10,0.0
126.4,34.74,2015-01-06 13:00:00,1.448474,-9.045361,268.50497,274.18127,0.0,99.999985,282.79553,0.98260415,-9.313226e-10,0.0
126.4,34.74,2015-01-06 14:00:00,2.3585086,-8.2219305,268.754,273.95825,0.0,108.20887,282.79282,1.0,2.5518239e-07,0.0
126.4,34.74,2015-01-06 15:00:00,2.1922903,-8.47303,268.77747,273.95767,0.0,113.33782,282.79254,1.0,2.5518239e-07,0.0
126.4,34.74,2015-01-06 16:00:00,1.9201528,-8.824086,268.75726,273.88202,0.0,113.9615,282.79037,1.0,1.2805685e-06,0.0
126.4,34.74,2015-01-06 17:00:00,1.4504576,-9.064304,268.35153,273.62143,0.0,114.02724,282.78763,1.0,2.3050234e-06,0.0
126.4,34.74,2015-01-06 18:00:00,1.1965683,-9.276711,268.25375,273.57364,0.0,114.088165,282.78656,1.0,1.792796e-06,0.0
126.4,34.74,2015-01-06 19:00:00,1.1640387,-9.304119,268.21008,273.5691,0.0,114.2052,282.78574,0.98954725,-9.313226e-10,0.0
126.4,34.74,2015-01-06 20:00:00,1.2064857,-9.21706,267.97308,273.37793,0.0,114.41524,282.78326,0.96517783,2.5518239e-07,0.0
126.4,34.74,2015-01-07 06:00:00,4.4872117,-9.144915,268.20407,276.0804,1248155.2,115.090225,282.7675,0.98551875,-9.313226e-10,181963.75
126.4,34.74,2015-01-07 07:00:00,4.455079,-8.972812,268.25977,276.18854,819636.9,115.09503,282.765,0.9937131,-9.313226e-10,220204.5
126.4,34.74,2015-01-07 08:00:00,4.367408,-8.783782,268.594,275.79138,327718.75,115.11427,282.76392,0.98954725,-9.313226e-10,64361.375
126.4,34.74,2015-01-07 09:00:00,4.1024103,-8.531472,268.8441,275.7106,22839.875,115.18963,282.76175,0.99310267,2.5518239e-07,2680.0
126.4,34.74,2015-01-07 10:00:00,4.032194,-8.464566,269.0314,275.1923,0.0,118.264755,282.60535,0.9775991,-9.313226e-10,0.0
126.4,34.74,2015-01-07 11:00:00,3.7739413,-8.367431,269.11823,275.13995,0.0,118.50365,282.60507,0.9754475,5.112961e-07,0.0
126.4,34.74,2015-01-07 12:00:00,3.7219734,-8.23644,269.23346,275.1297,0.0,118.43791,282.60208,0.9195825,5.112961e-07,0.0
126.4,34.74,2015-01-07 13:00:00,3.5704331,-8.011941,269.24548,275.06372,0.0,118.264755,282.59988,0.900203,5.112961e-07,0.0
126.4,34.74,2015-01-07 14:00:00,3.3542306,-7.797116,269.2362,274.75192,0.0,118.02586,282.5988,0.8981124,7.683411e-07,0.0
126.4,34.74,2015-01-07 15:00:00,3.2534683,-7.6238046,269.17722,274.6882,0.0,117.81423,282.598,0.8597195,5.112961e-07,0.0
126.4,34.74,2015-01-07 16:00:00,3.1892025,-7.4851556,269.15375,274.6518,0.0,117.59939,282.5958,0.8658691,2.5518239e-07,0.0
126.4,34.74,2015-01-07 17:00:00,3.1622267,-7.546822,269.1461,274.3076,0.0,117.368515,282.5947,0.8796332,2.5518239e-07,0.0
126.4,34.74,2015-01-07 18:00:00,3.0571008,-7.537149,269.29355,274.2962,0.0,116.69353,282.5917,0.91402805,1.5366822e-06,0.0
126.4,34.74,2015-01-07 19:00:00,3.034092,-7.4706454,269.39075,274.36105,0.0,116.249405,282.59143,0.95910454,1.2805685e-06,0.0
126.4,34.74,2015-01-07 20:00:00,3.0344887,-7.228413,269.31976,274.29904,0.0,116.09389,282.58926,0.92339736,1.5366822e-06,0.0
126.4,34.74,2015-01-08 06:00:00,3.8532817,-8.07119,270.42285,276.94238,1254715.2,115.75239,282.57263,0.99090534,-9.313226e-10,585452.06
126.4,34.74,2015-01-08 07:00:00,3.8255126,-7.974055,270.5015,276.9543,824596.9,115.75239,282.57047,0.97216666,-9.313226e-10,156643.25
126.4,34.74,2015-01-08 08:00:00,3.6335087,-7.6455693,270.64075,276.47754,334038.75,115.75239,282.56937,0.948957,-9.313226e-10,75761.5
126.4,34.74,2015-01-08 09:00:00,3.4700675,-7.260657,270.64896,276.48495,25159.875,115.7572,282.5661,0.8540125,-9.313226e-10,7200.125
126.4,34.74,2015-01-08 10:00:00,3.3819997,-6.5621715,270.55283,275.81927,0.0,104.6736,282.46747,0.5777395,-9.313226e-10,0.0
126.4,34.74,2015-01-08 11:00:00,3.5101345,-6.584742,270.61072,275.8318,0.0,109.717575,282.46472,0.3774587,-9.313226e-10,0.0
126.4,34.74,2015-01-08 12:00:00,3.304643,-6.67825,270.6069,275.85114,0.0,111.82271,282.46255,0.46105015,-9.313226e-10,0.0
126.4,34.74,2015-01-08 13:00:00,3.2713199,-6.567008,270.59433,275.8113,0.0,113.637634,282.46146,0.55770373,-9.313226e-10,0.0
126.4,34.74,2015-01-08 14:00:00,3.2586255,-6.3308206,270.69482,275.76978,0.0,113.92783,282.46118,0.5438634,-9.313226e-10,0.0
126.4,34.74,2015-01-08 15:00:00,3.3574042,-6.2232065,270.69153,275.71118,0.0,114.12504,282.45792,0.5116201,-9.313226e-10,0.0
126.4,34.74,2015-01-08 16:00:00,3.3732724,-6.1768556,270.79422,275.73962,0.0,114.256516,282.4571,0.46591794,-9.313226e-10,0.0
126.4,34.74,2015-01-08 17:00:00,3.403025,-6.205069,270.93674,275.7601,0.0,114.387985,282.45493,0.39253506,-9.313226e-10,0.0
126.4,34.74,2015-01-08 18:00:00,3.5597224,-6.0079775,271.05197,275.77036,0.0,114.55633,282.45383,0.7454717,-9.313226e-10,0.0
126.4,34.74,2015-01-08 19:00:00,3.6216078,-6.0216813,271.21198,275.949,0.0,114.74872,282.45166,0.72058356,-9.313226e-10,0.0
126.4,34.74,2015-01-08 20:00:00,3.6898406,-5.8947206,271.55057,276.16064,0.0,115.90149,282.4484,0.88657624,2.5518239e-07,0.0
126.4,34.74,2015-01-09 06:00:00,5.832428,-5.320778,271.0443,279.3803,1265955.1,116.96608,282.43365,0.59334993,-9.313226e-10,638413.1
126.4,34.74,2015-01-09 07:00:00,5.4634953,-5.30788,271.01212,279.3257,838796.8,116.96608,282.4312,0.43605512,-9.313226e-10,492410.12
126.4,34.74,2015-01-09 08:00:00,4.5701222,-4.8935447,271.15845,278.63614,347038.7,116.96608,282.42957,0.14903942,-9.313226e-10,284365.88
126.4,34.74,2015-01-09 09:00:00,4.117882,-4.230528,271.2229,278.32605,28279.875,116.96608,282.42712,0.029725492,-9.313226e-10,25440.5
126.4,34.74,2015-01-09 10:00:00,4.4665833,-3.837151,271.32666,277.56824,0.0,99.999985,282.36798,0.03840813,-9.313226e-10,0.0
126.4,34.74,2015-01-09 11:00:00,4.1170883,-3.7307458,271.61172,277.4994,0.0,99.999985,282.365,0.049059242,-9.313226e-10,0.0
126.4,34.74,2015-01-09 12:00:00,3.9976814,-3.5203538,271.8389,277.48288,0.0,99.999985,282.36472,0.056566924,-9.313226e-10,0.0
126.4,34.74,2015-01-09 13:00:00,4.4844346,-3.667467,271.9399,277.39185,0.0,99.999985,282.36145,0.08478171,-9.313226e-10,0.0
126.4,34.74,2015-01-09 14:00:00,5.2845826,-3.9536324,272.0393,277.45215,0.0,99.999985,282.35928,0.14960402,-9.313226e-10,0.0
126.4,34.74,2015-01-09 15:00:00,5.0441813,-4.1946564,271.96942,277.5523,0.0,99.999985,282.35846,0.274213,-9.313226e-10,0.0
126.4,34.74,2015-01-09 16:00:00,5.4289823,-4.8342967,271.91315,277.67233,0.0,99.999985,282.3571,0.33076465,-9.313226e-10,0.0
126.4,34.74,2015-01-09 17:00:00,5.1354227,-5.1494813,271.6909,277.72296,0.0,99.999985,282.35492,0.5932889,-9.313226e-10,0.0
126.4,34.74,2015-01-09 18:00:00,4.370581,-5.2127604,271.5806,277.8413,0.0,99.999985,282.3541,0.5371187,2.2290275e-05,0.0
126.4,34.74,2015-01-09 19:00:00,3.5184653,-5.291355,271.63574,277.8965,0.0,99.999985,282.35165,0.35772818,1.0244548e-06,0.0
126.4,34.74,2015-01-09 20:00:00,2.7706819,-5.1676188,271.98416,277.38162,0.0,99.999985,282.35056,0.14282879,2.5518239e-07,0.0
126.4,34.74,2015-01-10 06:00:00,4.461426,-2.914167,271.74115,279.40082,1292075.1,109.29109,282.33502,0.15084004,-9.313226e-10,1218545.1
126.4,34.74,2015-01-10 07:00:00,4.4487314,-3.0822387,271.7974,279.36154,857076.75,109.50273,282.33365,0.23215786,-9.313226e-10,802376.5
126.4,34.74,2015-01-10 08:00:00,4.080989,-2.9560843,271.96667,278.64127,357718.62,109.812164,282.33148,0.2302962,-9.313226e-10,333566.88
126.4,34.74,2015-01-10 09:00:00,3.5367136,-2.5429578,272.27905,278.38297,30479.875,110.11679,282.3301,0.25887722,-9.313226e-10,27360.625
126.4,34.74,2015-01-10 10:00:00,3.3300319,-2.0641346,271.9181,277.35773,0.0,99.999985,282.35193,0.31506264,-9.313226e-10,0.0
126.4,34.74,2015-01-10 11:00:00,3.7275271,-1.2971307,271.85855,277.29684,0.0,99.999985,282.35083,0.3408054,-9.313226e-10,0.0
126.4,34.74,2015-01-10 12:00:00,3.916754,-0.85538805,271.68597,277.2058,0.0,99.999985,282.34756,0.26224956,-9.313226e-10,0.0
126.4,34.74,2015-01-10 13:00:00,4.195636,-0.5833293,271.62482,277.27805,0.0,99.999985,282.34756,0.09779805,-9.313226e-10,0.0
126.4,34.74,2015-01-10 14:00:00,4.4689636,-0.13352573,271.78537,277.11078,0.0,99.999985,282.3462,0.03814873,-9.313226e-10,0.0
126.4,34.74,2015-01-10 15:00:00,4.704604,-0.089190245,271.90115,277.02145,0.0,99.999985,282.34402,0.009201467,-9.313226e-10,0.0
126.4,34.74,2015-01-10 16:00:00,4.6284375,-0.08596587,272.26593,277.3287,0.0,99.999985,282.34265,0.017594188,-9.313226e-10,0.0
126.4,34.74,2015-01-10 17:00:00,4.3939867,0.20181179,272.59195,277.48572,0.0,99.999985,282.33966,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-10 18:00:00,4.3991437,0.7108637,273.42258,277.78613,0.0,99.999985,282.3394,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-10 19:00:00,4.7815647,1.2529658,274.34003,278.2174,0.0,99.999985,282.33612,0.0,-9.313226e-10,0.0
126.4,34.74,2015-01-10 20:00:00,5.0291066,1.400482,275.2247,278.78406,0.0,99.999985,282.33585,0.00035098195,-9.313226e-10,0.0
126.4,34.74,2015-01-11 06:00:00,4.5356092,-8.891799,270.99026,277.69168,1306435.0,99.999985,282.31976,0.81845784,-9.313226e-10,1038821.4
126.4,34.74,2015-01-11 07:00:00,4.148428,-9.156199,270.51733,277.4641,873076.6,99.999985,282.31866,0.6906444,-9.313226e-10,291246.0
126.4,34.74,2015-01-11 08:00:00,3.621211,-8.953465,270.05096,276.62604,366798.62,99.999985,282.31567,0.8457266,-9.313226e-10,197604.12
126.4,34.74,2015-01-11 09:00:00,3.3280482,-8.722115,269.92484,276.40814,32679.875,99.999985,282.31458,0.8647094,-9.313226e-10,12040.25
126.4,34.74,2015-01-11 10:00:00,3.2062607,-8.353727,269.85822,276.01157,0.0,99.999985,282.19388,0.8194803,-9.313226e-10,0.0
126.4,34.74,2015-01-11 11:00:00,3.0178273,-8.34486,269.75116,276.02295,0.0,99.999985,282.19278,0.78886974,-9.313226e-10,0.0
126.4,34.74,2015-01-11 12:00:00,3.034092,-8.57742,269.65015,275.90973,0.0,102.98692,282.19034,0.7485389,-9.313226e-10,0.0
126.4,34.74,2015-01-11 13:00:00,2.888899,-8.814413,269.51636,275.76123,0.0,105.574646,282.1876,0.63398594,-9.313226e-10,0.0
126.4,34.74,2015-01-11 14:00:00,2.7222843,-8.776526,269.16574,275.3903,0.0,107.07373,282.18707,0.58192056,-9.313226e-10,0.0
126.4,34.74,2015-01-11 15:00:00,2.3783436,-8.698738,269.04944,275.08307,0.0,108.133514,282.1857,0.36210763,-9.313226e-10,0.0
126.4,34.74,2015-01-11 16:00:00,2.0252788,-8.620143,268.9921,274.9613,0.0,108.91272,282.18488,0.27259547,-9.313226e-10,0.0
126.4,34.74,2015-01-11 17:00:00,1.836052,-8.408543,268.6748,274.5505,0.0,109.470665,282.18243,0.33728045,-9.313226e-10,0.0
126.4,34.74,2015-01-11 18:00:00,1.8669947,-7.9792943,268.68738,274.48566,0.0,109.892334,282.18106,0.5043871,-9.313226e-10,0.0
126.4,34.74,2015-01-11 19:00:00,1.7424302,-7.7862334,268.70648,274.34683,0.0,110.30438,282.18024,0.5680649,-9.313226e-10,0.0
126.4,34.74,2015-01-11 20:00:00,1.3631831,-7.8640227,268.52298,273.88486,0.0,110.75009,282.1778,0.5883143,-9.313226e-10,0.0
126.4,34.74,2015-01-12 06:00:00,0.1829946,-6.278827,267.56622,276.2676,1357514.9,106.357056,282.162,0.0017701089,-9.313226e-10,1370508.2
126.4,34.74,2015-01-12 07:00:00,-0.64690614,-5.7153635,267.40567,276.19534,918876.5,106.62962,282.15982,0.0,-9.313226e-10,927019.1
126.4,34.74,2015-01-12 08:00:00,-1.0297236,-4.8101134,267.3232,275.46198,399078.5,106.89577,282.15955,0.0040132403,-9.313226e-10,401888.25
126.4,34.74,2015-01-12 09:00:00,-1.3974664,-4.2442317,267.86548,274.5858,38919.875,107.12504,282.15845,0.9521768,-9.313226e-10,39240.75
126.4,34.74,2015-01-12 10:00:00,-0.8873074,-3.834733,267.47885,273.59354,0.0,99.999985,282.07098,0.9987487,-9.313226e-10,0.0
126.4,34.74,2015-01-12 11:00:00,-0.4668033,-3.3813019,267.7612,273.19186,0.0,99.999985,282.07016,0.65631056,-9.313226e-10,0.0
126.4,34.74,2015-01-12 12:00:00,-0.95792055,-3.1616397,267.99384,273.0593,0.0,99.999985,282.0688,0.9986877,-9.313226e-10,0.0
126.4,34.74,2015-01-12 13:00:00,-1.5117166,-2.8658009,268.2554,273.11963,0.0,99.999985,282.06662,0.99143946,-9.313226e-10,0.0
126.4,34.74,2015-01-12 14:00:00,-1.946502,-2.4260736,268.48312,272.93756,0.0,99.999985,282.06552,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 15:00:00,-1.6208096,-2.2999187,268.72778,272.9586,0.0,99.999985,282.06335,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 16:00:00,-1.3835816,-2.1862588,268.8867,273.1452,0.0,99.999985,282.06198,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 17:00:00,-1.7104642,-2.0875115,269.0161,273.10312,0.0,99.999985,282.06116,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 18:00:00,-2.2146726,-2.0459971,269.19852,273.2573,0.0,99.999985,282.05872,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 19:00:00,-2.6121678,-1.9287099,269.23456,273.23795,0.0,99.999985,282.05762,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-12 20:00:00,-2.8109155,-1.6780127,269.23676,273.36996,0.0,99.999985,282.05518,1.0,-9.313226e-10,0.0
126.4,34.74,2015-01-13 06:00:00,-2.969993,0.9160161,275.04556,281.34946,1297115.0,99.999985,282.04074,1.0,-9.313226e-10,334406.88
126.4,34.74,2015-01-13 07:00:00,-2.9941921,1.4335321,275.5425,281.28232,873676.6,99.999985,282.03854,1.0,-9.313226e-10,242245.0
